countries,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Cayman Islands,21349,22220,23095,23969,24900,26023,27315,28642,29998,31379,32764,34168,35568,36949,38304,39699,41109,42534,43951,45371,46809,48252,49709,51175,52638,54119,55630,57153,58678,60179,61665,63122,64562,65963,67346,68701,70126
Central African Republic,2600939,2634263,2669153,2713968,2783977,2871915,2963195,3058837,3157841,3257957,3348061,3435973,3531700,3628834,3729453,3833422,3919497,4006080,4103091,4192828,4288813,4377583,4462777,4558988,4529051,4493001,4565022,4610848,4642424,4623188,4629323,4713663,4793511,4878664,4944707,5026629,5112102
Chad,9682,9682,9682,9682,9682,9682,9682,9682,9682,9682,9682,9682,9682,9682,8222711,8512092,8804121,9116194,9487830,9920036,10328095,10706425,11081667,11476300,11893752,12312582,12755003,13211007,13691081,14188681,14647625,15114649,15622758,16156535,16685223,17224685,17828274
Chile,34799,34799,34799,34799,34799,34799,34799,34799,34799,34799,34799,34799,34799,34799,34799,34799,34799,34799,34799,34799,34799,34799,34799,34799,34799,34799,34799,34799,34799,34799,34799,34799,34799,34799,34799,34799,34799
China,1059807821,1077233612,1096217446,1115244161,1133991005,1153582718,1170788527,1184574240,1197308569,1209003100,1220133927,1230944812,1241139619,1250847121,1260176650,1269581164,1278725057,1286866839,1294517315,1302100319,1310027138,1318054037,1325813580,1333821009,1342522709,1351561511,1360250657,1369520865,1379008046,1387951973,1396134164,1404052626,1412354742,1419008963,1423520354,1426106083,1426437276
Colombia,29268471,29879114,30499472,31130528,31776281,32440064,33098371,33760570,34441479,35127408,35804671,36462740,37121156,37792170,38454863,39089939,39709264,40324683,40937426,41543177,42128977,42691081,43235374,43758804,44271541,44777325,45259614,45715807,46151584,46565426,46969937,47437513,48131076,49024463,49907987,50629997,51188174
Comoros,388356,399328,410444,421697,433106,444602,455564,465119,473682,482148,490594,499113,507779,516606,525891,536084,547221,558928,569808,580711,592677,604752,616933,629314,641947,654845,668064,681637,696202,711511,726685,741745,756672,771596,786583,802172,818178
Congo,2059316,2120606,2183479,2247655,2313562,2380562,2449235,2519467,2595126,2673148,2749464,2826786,2887861,2952063,3032875,3151349,3272542,3350772,3445757,3565564,3696399,3837410,3980430,4113514,4281219,4462303,4609728,4740456,4857106,4975887,5097583,5222545,5351012,5483129,5616656,5752791,5892186
Cook Islands,16853,16626,16601,16771,16958,17146,17328,17495,17615,17709,17801,17880,17648,17102,16504,15876,15259,14994,15049,15103,15152,15233,15519,16003,16497,16999,17478,17689,17626,17555,17469,17358,17066,16622,16151,15663,15204
Costa Rica,2741904,2817219,2892698,2968102,3043826,3121707,3202181,3284261,3367436,3451122,3535181,3619014,3701712,3782840,3862104,3937737,4008950,4075712,4138790,4200080,4261240,4321339,4380249,4440057,4499788,4555965,4609834,4663932,4716153,4767126,4818044,4867002,4913177,4957814,4999551,5034323,5059992
Cote d'Ivoire,10040486,10440923,10851480,11275194,11719772,12189781,12683875,13200312,13735955,14287212,14855566,15442322,16047178,16663948,17215937,17699006,18178920,18654774,19125546,19594996,20068468,20546810,21030560,21514445,21997937,22488068,22982002,23467082,23939775,24527392,25246346,25989404,26733377,27464175,28193014,28915452,29639735
Croatia,,,,,,4835068,4825159,4782238,4729737,4675515,4619361,4562291,4504629,4445669,4385822,4326105,4301078,4305783,4306682,4310054,4313946,4315802,4315957,4314634,4310537,4301152,4280827,4259234,4242404,4219485,4183732,4136438,4079198,4024868,3986338,3953957,3924607
Cuba,10157229,10244250,10335337,10432589,10533248,10631797,10717639,10785807,10841040,10886022,10925362,10962011,10997932,11034717,11072229,11109111,11144132,11177421,11209378,11238755,11262552,11278550,11287273,11291764,11294716,11297413,11301577,11303173,11298163,11285781,11275068,11265614,11247825,11227118,11202847,11176349,11122169
Cyprus,731290,743116,754796,766239,777429,788354,798950,810343,826042,844669,862698,880296,897576,914552,931236,947667,964129,981443,999602,1017877,1036156,1054425,1072726,1091028,1109377,1127825,1146492,1165402,1183899,1201807,1219504,1237116,1254273,1270743,1286669,1302250,1317312
Czechia,10305142,10304373,10303423,10305448,10305609,10301990,10304419,10312449,10320402,10322332,10312040,10296139,10280049,10265431,10251383,10236809,10231941,10239474,10248907,10261454,10280158,10304594,10337541,10378296,10420986,10464035,10495508,10507338,10511164,10517222,10524419,10531947,10541343,10548935,10554871,10550130,10530683
