countries,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Tonga,98000,98025,98394,98985,99418,99718,99911,100045,100120,100187,100237,100294,100691,101407,102057,102694,103306,103887,104479,105088,105683,106266,106744,107036,107219,107415,107584,107476,107092,106627,106111,105536,105374,105589,105688,105719,105504
Trinidad and Tobago,1187369,1203132,1217366,1230069,1241605,1252214,1262175,1271682,1280473,1288353,1295166,1300937,1305837,1310225,1314711,1319781,1325573,1332017,1338719,1345386,1352040,1358706,1365382,1372090,1379056,1386657,1394990,1403815,1412658,1421135,1429189,1437030,1445265,1470522,1484898,1481026,1487715
Tunisia,7409907,7600300,7789990,7974447,8151665,8324509,8501827,8682509,8857916,9018446,9161263,9294433,9421273,9541671,9655966,9764940,9869680,9971522,10071637,10166169,10255475,10346408,10441705,10542637,10650682,10765982,10886041,11009650,11141365,11274295,11402270,11528676,11650504,11765515,11875085,11974058,12048625
Turkey,50687118,51777769,52843669,53909627,54976718,56015626,57009892,57990120,58999167,60033831,61024501,61951134,62852969,63734384,64591916,65425958,66245126,67048793,67831736,68592621,69329555,70045352,70750595,71562344,72464845,73346766,74215200,75197195,76403032,78036154,80014221,81652086,83083668,84415966,85357671,86091691,86686255
Turkmenistan,3247542,3347814,3452736,3559364,3662465,3760561,3855900,3944689,4032415,4116662,4191210,4263817,4336733,4410512,4492174,4582676,4675414,4769472,4863871,4958093,5052259,5147104,5244047,5345034,5451596,5564355,5683413,5808547,5939347,6075286,6215775,6360041,6507065,6655523,6803942,6949915,7092041
Turks and Caicos Islands,9545,9961,10384,10800,11212,11707,12328,12989,13668,14367,15072,15784,16504,17236,17980,18754,19602,20619,21749,22879,24011,25145,26289,27452,28609,29762,30870,32152,33675,35077,36632,38342,39928,41579,43190,44404,45260
Tuvalu,8068,8237,8393,8539,8685,8821,8952,9060,9146,9231,9299,9363,9423,9465,9518,9566,9608,9645,9715,9839,9964,10078,10204,10344,10478,10635,10804,10960,11027,11007,10984,10950,10892,10775,10603,10423,10214
Uganda,15023680,15467581,15954164,16470484,17010704,17569895,18155901,18785037,19445160,20108803,20665674,21231553,21856044,22515809,23257278,24000157,24745678,25532870,26352121,27154512,27963287,28794005,29653438,30539547,31451146,32390800,33354540,34337433,35337050,36395544,37531444,38799153,40177383,41565839,42999636,44457149,45910932
Ukraine,51108771,51318737,51515727,51724853,51917826,52054094,52170967,52323675,52350122,52076000,51665535,51226110,50786882,50379728,49976444,49556655,49106855,48677280,48315132,47979502,47585558,47278690,47062802,46819168,46623732,46456002,46307852,46210051,46126762,45972378,45784903,45616831,45436036,45208903,44957450,44680009,44298641
United Arab Emirates,409,409,409,409,409,409,409,409,409,409,409,409,409,409,409,3493584,3723596,3956828,4192465,4428966,4664796,5009106,5624639,6302669,6707063,6938372,7199437,7497124,7831852,8236880,8674629,9030873,9234330,9346870,9377855,9448529,9789054
United Kingdom,2189,2189,2189,2189,2189,2189,2189,2189,2189,2189,2189,2189,2189,2189,2189,2189,2189,2189,2189,2189,2189,2189,2189,2189,2189,2189,2189,2189,2189,2189,2189,2189,2189,2189,2189,2189,2189
United States,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083
United States Virgin Islands,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083
Uruguay,1705,1705,1705,1705,1705,1705,1705,1705,1705,1705,1705,1705,1705,1705,1705,1705,1705,1705,1705,1705,1705,1705,1705,1705,1705,1705,1705,1705,1705,1705,1705,1705,1705,1705,1705,1705,1705
Uzbekistan,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083
Vanuatu,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083
Venezuela,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083
Vietnam,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083
Western Sahara,151772,157376,162890,168420,173937,179552,185311,190949,196482,201927,209941,221401,233786,246315,258979,271946,285197,298468,311790,325196,338703,352657,366873,380833,394961,409722,425092,441033,457437,472590,486230,499658,512852,525789,538452,549372,558625
World,4868943460,4958072822,5049746378,5141992550,5234431714,5327803075,5418735879,5505989821,5591544841,5675551281,5758878997,5842055726,5924787787,6007066714,6089006330,6171703018,6254936479,6337730319,6420361649,6503377778,6586970145,6671452018,6757308750,6844457675,6932766459,7021732131,7110923797,7201202531,7291793608,7381616239,7470491904,7558554580,7645618013,7729902724,7811293714,7887001284,7954448405
Yemen,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083
Zambia,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083
Zimbabwe,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083,2839926083
